a,ɑː,,"['conjunction', 'interjection', 'adverb', 'preposition', 'letter', 'noun', 'adjective', 'verb', 'pronoun']"
aah,ˈɑːh,,"['verb', 'interjection', 'noun']"
aardvark,ˈɑːdvɑːk,,['noun']
ab,æb,,"['conjunction', 'adverb', 'preposition', 'noun', 'adjective', 'verb']"
aback,əˈbæk,,"['adverb', 'noun']"
abacus,ˈæbəkəs,,['noun']
abaft,əˈbæft,,"['adverb', 'preposition']"
abalone,æbəˈləʊni,,['noun']
abandon,əˈbændən,,"['adverb', 'verb', 'noun']"
abandoned,əˈbændn̩d,,"['adjective', 'verb']"
abandoning,əˈbændənɪŋ,,"['verb', 'noun']"
abandonment,əˈbændn̩mn̩t,,['noun']
abase,əˈbeɪs,,"['interjection', 'verb']"
abased,əˈbeɪst,,"['adjective', 'verb']"
abasement,əˈbeɪsmənt,,['noun']
abases,aˈbazɛs,,"['verb', 'noun']"
abash,əˈbæʃ,,['verb']
abashed,əˈbæʃt,,"['adjective', 'verb']"
abashedly,əˈbæʃɪdli,,['adverb']
abashment,əˈbæʃmənt,,['noun']
abate,əˈbeɪt,,"['verb', 'noun']"
abatement,əˈbeɪtmənt,,['noun']
abates,əˈbeɪts,,"['verb', 'noun']"
abating,əˈbeɪtɪŋ,,"['verb', 'noun']"
abattoir,ˈæbəˌtwɑː(ɹ),,['noun']
abbess,ˈæbɪs,,['noun']
abbey,ˈæbi,,['noun']
abbeys,ˈæbiz,,['noun']
abbot,ˈæbət,,['noun']
abbots,ˈæbəts,,['noun']
abbreviate,əˈbɹiːvieɪt,,"['verb', 'adjective', 'noun']"
abbreviated,əˈbɹiːvieɪtɪd,,"['adjective', 'verb']"
abbreviation,əˌbɹiːviˈeɪʃən,,['noun']
abbé,æˈbeɪ,,['noun']
abdicate,ˈæbdɪˌkeɪt,,['verb']
abdicated,ˈæbdɪkeɪtɪd,,['verb']
abdication,ˌæbdəˈkeɪʃən,,['noun']
abdomen,ˈæbdəmən,,['noun']
abdominal,æbˈdɒmənl̩,,"['adjective', 'noun']"
abduct,æbˈdʌkt,,['verb']
abducted,æbˈdʌktɪd,,"['adjective', 'verb']"
abductee,ˌæbdʌkˈtiː,,['noun']
abduction,əbˈdʌkʃn̩,,['noun']
abductions,abdyksjɔ̃,,['noun']
abductor,æbˈdʌktɚ,,"['adjective', 'noun']"
abeam,əˈbiːm,,"['adverb', 'preposition', 'adjective', 'verb']"
abed,əˈbɛd,,['adverb']
aberrant,əˈbɛɹənt,,"['verb', 'adjective', 'noun']"
aberration,ˌæbəˈɹeɪʃn̩,,['noun']
aberrational,ˌæbəˈɹeɪʃənl̩,,['adjective']
aberrations,abɛʁasjɔ̃,,['noun']
abet,əˈbɛt,,"['verb', 'noun']"
abets,əˈbɛts,,"['verb', 'noun']"
abetted,əˈbɛtɪd,,['verb']
